"V_IDX","I_IDX","option_id","M_IDX","is_MF","is_OR","is_Commercial","is_Industrial","is_Institutional","is_Lodging","is_Mixed","is_Office","is_Special","is_Other","type","hh_init","ws_init","hh_cap","ws_cap","bid_logsum","intdens_N","pct_water","pct_sewer","pct_transit","avg_slope","pct_steep","elevation"
1,1,1.1,1,0,0,0,0,0,0,0,0,0,0,"Residential",408.55106888361,0,926.420238171111,0,15.5395,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
2,1,1.2,1,1,0,0,0,0,0,0,0,0,0,"Residential",0,0,0,0,7.32189,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
3,1,1.3,1,0,1,1,0,0,0,0,0,0,0,"Residential",91.4489311163895,0,207.367320753417,0,4.10145,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
4,1,1.4,2,0,0,0,1,0,0,0,0,0,0,"Industrial",0,7.00000000000023,0,98.3744882346216,11.189,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
5,1,1.5,2,0,0,0,0,0,0,0,0,0,0,"Commercial",0,0,0,98.0515165152546,13.1048,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
6,1,1.6,2,0,0,0,0,0,1,0,0,0,0,"Lodging",0,0,0,36.7057228171288,15.2582,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
7,1,1.7,2,0,0,0,0,0,0,0,1,0,0,"Office",0,0,0,0,12.6676,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
8,1,1.8,2,0,0,0,0,0,0,1,0,0,1,"Mixed",0,122,0,114.400000000043,12.4262,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
9,1,1.9,2,0,0,0,0,1,0,0,0,0,1,"Institutional",0,2.99999999999989,0,126.167433622237,15.0855,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
10,1,2,2,0,0,0,0,0,0,0,0,1,1,"Special",0,0,0,0,11.3735,0.245261654760669,0,0,0,0.21628735691984,0.0663082437275986,0.474864936329283
1,2,2.1,1,0,0,0,0,0,0,0,0,0,0,"Residential",266.691699604743,0,700.26356184048,0,15.7911,0.22591981149083,0,0,0,0.242948041374158,0.0857664233576642,0.459953824895275
